tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,favorites,retweets,jpg_url,img_num,first_prediction,first_confidence,first_dog,second_prediction,second_confidence,second_dog,third_prediction,third_confidence,third_dog
8.918151813780849e+17,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie He is a rare Norwegian Pouncing Corgo Lives in the tall grass You never know when one may strike 12 10 https t co wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,None,None,None,25461,4328,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
8.900066081131725e+17,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda He is a South Australian deckshark Deceptively deadly Frighteningly majestic 13 10 would risk a petting BarkWeek https t co dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,None,None,None,31166,7624,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
8.896388375799071e+17,2017-07-25 00:10:02+00:00,Twitter for iPhone,This is Ted He does his best Sometimes that s not enough But it s ok 12 10 would assist https t co f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,None,None,None,None,27672,4735,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
8.892788419816858e+17,2017-07-24 00:19:32+00:00,Twitter for iPhone,This is Oliver You re witnessing one of his many brutal attacks Seems to be playing with his victim 13 10 fr ckin frightening BarkWeek https t co WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,None,None,None,None,25652,5637,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True
8.889172381238313e+17,2017-07-23 00:22:39+00:00,Twitter for iPhone,This is Jim He found a fren Taught him how to sit like the good boys 12 10 for both https t co chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,None,None,None,None,29611,4709,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True
8.885549627242783e+17,2017-07-22 00:23:06+00:00,Twitter for iPhone,This is Ralphus He s powering up Attempting maximum borkdrive 13 10 inspirational af https t co YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,None,None,None,None,20290,3732,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True
8.877052893818266e+17,2017-07-19 16:06:48+00:00,Twitter for iPhone,This is Jeffrey He has a monopoly on the pool noodles Currently running a boop for two midweek sale 13 10 h ckin strategic https t co PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,None,None,None,None,30779,5609,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
8.871013928040858e+17,2017-07-18 00:07:08+00:00,Twitter for iPhone,This is a Jubilant Antarctic House Bear We only rate dogs Please only send dogs Thank you 12 10 would suffocate in floof https t co 4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,None,None,None,None,None,31061,6167,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.029704700000000007,True
8.867368805193196e+17,2017-07-16 23:58:41+00:00,Twitter for iPhone,This is Mingus He s a wonderful father to his smol pup Confirmed 13 10 but he needs your help https t co bVi0Yr4Cff https t co ISvKOSkd5b,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13,10,Mingus,None,None,None,None,12306,3443,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.08634630000000001,True
8.859848000199475e+17,2017-07-14 22:10:11+00:00,Twitter for iPhone,Viewer discretion advised This is Jimbo He will rip ur finger right h ckin off Other dog clearly an accessory 12 10 pls pet with caution https t co BuveP0uMF1,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12,10,Jimbo,None,None,None,None,33382,7097,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True
